,city,lat,lon,humidity,wind,clouds,country,date,temp
0,georgetown,5.41,100.34,94,3.36,20,MY,1595634640,77.0
1,hermanus,-34.42,19.23,47,1.99,0,ZA,1595634640,61.0
2,coahuayana,18.73,-103.68,83,17.22,90,MX,1595634640,77.0
3,cidreira,-30.18,-50.21,84,9.66,100,BR,1595634640,62.87
4,tuktoyaktuk,69.45,-133.04,55,4.7,75,CA,1595634640,62.6
5,menongue,-14.66,17.69,55,4.68,71,AO,1595634342,46.6
6,cape town,-33.93,18.42,66,5.82,0,ZA,1595634464,50.0
7,pacific grove,36.62,-121.92,68,10.29,90,US,1595634640,66.0
8,flin flon,54.77,-101.86,83,4.7,75,CA,1595634641,73.4
9,rawson,-43.3,-65.1,64,20.2,55,AR,1595634344,42.8
10,khatanga,71.97,102.5,85,13.15,98,RU,1595634641,42.55
11,kaitangata,-46.28,169.85,62,17.0,82,NZ,1595634641,51.01
12,vao,-22.67,167.48,81,19.15,79,NC,1595634641,71.13
13,mataura,-46.19,168.86,90,5.88,97,NZ,1595634641,45.75
14,dikson,73.51,80.55,97,12.57,91,RU,1595634641,42.21
15,vila,42.03,-8.16,77,6.93,0,PT,1595634641,66.2
16,shingu,33.73,135.98,94,10.29,75,JP,1595634642,75.2
17,bredasdorp,-34.53,20.04,87,4.7,0,ZA,1595634642,46.4
18,ilmajoki,62.73,22.57,93,11.41,90,FI,1595634642,52.0
19,berlevag,70.86,29.09,84,16.22,15,NO,1595634642,56.88
20,busselton,-33.65,115.33,78,18.34,87,AU,1595634579,50.0
21,thompson,55.74,-97.86,94,3.36,90,CA,1595634642,69.8
22,nichinan,31.6,131.37,83,2.24,75,JP,1595634642,77.0
23,avarua,-21.21,-159.78,69,8.05,89,CK,1595634642,75.2
24,sao filipe,14.9,-24.5,81,3.51,25,CV,1595634643,76.62
25,hobart,-42.88,147.33,70,6.93,75,AU,1595634568,46.99
26,flinders,-34.58,150.86,84,8.99,69,AU,1595634643,59.0
27,toledo,39.83,-4.0,32,6.93,0,ES,1595634643,82.4
28,tasiilaq,65.61,-37.64,87,4.7,87,GL,1595634643,42.8
29,komsomolskiy,40.43,71.72,44,6.93,38,UZ,1595634643,77.0
30,la paz,-16.5,-68.15,20,8.05,20,BO,1595634643,44.6
31,castro,-24.79,-50.01,75,4.41,0,BR,1595634644,57.52
32,faanui,-16.48,-151.75,75,19.19,0,PF,1595634599,77.72
33,sechura,-5.56,-80.82,78,18.54,10,PE,1595634400,65.39
34,hilo,19.73,-155.09,66,10.29,40,US,1595634427,84.2
35,airai,-8.93,125.41,60,4.16,46,TL,1595634644,62.91
36,hofn,64.25,-15.21,61,9.31,72,IS,1595634644,50.09
37,tarko-sale,64.92,77.78,86,10.96,61,RU,1595634644,55.0
38,kasama,-10.21,31.18,90,3.36,0,ZM,1595634644,45.41
39,the pas,53.83,-101.25,48,9.17,20,CA,1595634645,86.0
40,albany,42.6,-73.97,62,2.42,33,US,1595634498,82.0
41,albanel,48.88,-72.45,44,10.29,75,CA,1595634645,78.8
42,lebu,-37.62,-73.65,78,7.2,95,CL,1595634645,47.89
43,lorengau,-2.02,147.27,77,11.72,46,PG,1595634645,84.34
44,hambantota,6.12,81.12,83,13.13,87,LK,1595634645,79.21
45,sumenep,-7.02,113.87,66,9.06,98,ID,1595634645,77.99
46,qaanaaq,77.48,-69.36,54,2.01,0,GL,1595634645,48.0
47,mount gambier,-37.83,140.77,93,4.7,70,AU,1595634646,41.0
48,kathu,7.92,98.33,100,2.24,40,TH,1595634646,82.0
49,sitka,57.05,-135.33,82,6.93,90,US,1595634646,57.2
50,ushuaia,-54.8,-68.3,93,12.75,90,AR,1595634558,32.0
51,bambous virieux,-20.34,57.76,52,17.22,75,MU,1595634646,68.0
52,lagoa,39.05,-27.98,79,11.12,0,PT,1595634647,69.94
53,rikitea,-23.12,-134.97,71,15.79,17,PF,1595634647,68.23
54,guerrero negro,27.98,-114.06,61,17.78,0,MX,1595634647,72.27
55,rumoi,43.93,141.64,68,3.85,11,JP,1595634647,70.48
