city,lat,humidity,temp,wind,clouds,wind
ancud,-41.87,87,46.99,12.75,40,12.75
borba,-4.39,62,83.46,0.63,68,0.63
honningsvag,70.98,93,55.4,4.7,7,4.7
mataura,-46.19,88,44.83,5.7,95,5.7
venice,27.1,70,87.01,9.17,20,9.17
esperance,-33.87,93,44.6,12.75,0,12.75
bluff,-46.6,82,50.27,16.4,100,16.4
araouane,18.9,11,102.83,0.2,6,0.2
rio grande,-32.03,89,53.01,5.01,100,5.01
hermanus,-34.42,62,59.99,2.37,0,2.37
rikitea,-23.12,58,68.72,13.4,26,13.4
houston,29.76,62,91.99,23.04,75,23.04
port hardy,50.7,63,64.4,12.75,40,12.75
ushuaia,-54.8,94,32.0,16.11,90,16.11
punta arenas,-53.15,74,37.4,11.41,20,11.41
carutapera,-1.2,78,78.85,9.06,97,9.06
qaanaaq,77.48,52,49.42,2.95,0,2.95
severo-kurilsk,50.68,82,50.92,6.87,100,6.87
hilo,19.73,69,82.4,12.75,90,12.75
thompson,55.74,94,69.8,4.7,90,4.7
vaini,-21.2,94,73.4,9.17,75,9.17
edgecumbe,-37.98,86,48.0,3.0,1,3.0
mar del plata,-38.0,75,43.0,20.8,75,20.8
najran,17.49,25,87.8,6.93,100,6.93
itarema,-2.92,75,78.33,15.77,16,15.77
binga,-17.62,58,60.24,2.1,4,2.1
lobva,59.19,82,52.23,3.56,28,3.56
buraydah,26.33,30,98.6,3.36,40,3.36
roald,62.58,87,51.8,12.75,0,12.75
torbay,47.67,100,57.0,4.7,90,4.7
ponta delgada,37.73,73,69.8,3.36,40,3.36
jamestown,42.1,78,78.01,8.05,75,8.05
new norfolk,-42.78,81,42.01,1.99,100,1.99
port elizabeth,-33.92,66,51.8,4.7,0,4.7
te anau,-45.42,86,44.11,5.39,99,5.39
hobart,-42.88,81,43.0,9.17,100,9.17
albany,42.6,43,89.01,2.75,50,2.75
longyearbyen,78.22,76,53.6,9.17,0,9.17
iquique,-20.22,63,60.8,14.99,2,14.99
nikolskoye,59.7,81,54.0,6.71,20,6.71
marawi,8.0,95,73.0,5.01,66,5.01
kerman,30.28,18,73.4,6.93,0,6.93
mount isa,-20.73,66,50.0,5.82,0,5.82
flinders,-34.58,93,48.0,1.99,84,1.99
mahebourg,-20.41,56,68.0,16.11,75,16.11
lebu,-37.62,79,48.52,9.19,94,9.19
la ronge,55.1,57,77.0,13.87,75,13.87
nathdwara,24.93,77,77.2,3.38,31,3.38
birao,10.28,90,73.04,5.97,35,5.97
port macquarie,-31.43,100,51.01,2.24,90,2.24
avarua,-21.21,53,77.0,6.93,83,6.93
busselton,-33.65,77,45.0,14.74,87,14.74
vila franca do campo,37.72,73,69.8,3.36,40,3.36
comodoro rivadavia,-45.87,56,44.6,18.34,72,18.34
leningradskiy,69.38,68,47.07,12.73,99,12.73
arraial do cabo,-22.97,73,73.4,13.87,0,13.87
tuktoyaktuk,69.45,67,62.6,6.93,75,6.93
venray,51.52,82,64.4,6.93,0,6.93
barra do garcas,-15.89,37,75.47,2.28,75,2.28
bredasdorp,-34.53,87,48.2,3.36,0,3.36
sesheke,-17.48,54,53.6,3.36,27,3.36
hithadhoo,-0.6,73,81.09,5.32,100,5.32
nanortalik,60.14,90,45.88,9.06,100,9.06
vuktyl,63.86,61,55.63,6.58,11,6.58
barrow,71.29,80,35.6,16.11,90,16.11
bhattiprolu,16.1,80,81.01,1.83,100,1.83
pevek,69.7,68,46.24,8.72,94,8.72
sturgeon falls,46.36,41,80.01,9.17,20,9.17
butaritari,3.07,80,81.99,16.64,24,16.64
launceston,-41.45,86,39.0,4.7,100,4.7
cape town,-33.93,50,57.2,2.24,0,2.24
magistralnyy,56.17,89,54.09,2.66,18,2.66
basco,20.45,77,85.39,11.56,100,11.56
talnakh,69.49,81,48.2,15.66,1,15.66
narsaq,60.92,71,55.4,9.17,97,9.17
kristiinankaupunki,62.27,88,54.55,12.88,95,12.88
georgetown,5.41,94,77.0,4.7,20,4.7
broome,42.25,54,82.99,4.7,75,4.7
dikson,73.51,97,42.67,11.99,88,11.99
kodiak,57.79,93,55.4,5.82,90,5.82
sioux lookout,50.1,58,87.8,13.87,75,13.87
port alfred,-33.59,28,67.82,8.93,0,8.93
dunedin,-45.87,49,52.0,1.99,89,1.99
nacala,-14.54,72,66.9,8.52,1,8.52
dofteana,46.32,88,66.2,1.12,44,1.12
vilyuysk,63.76,92,63.59,2.89,98,2.89
tsagan aman,47.56,84,68.0,9.35,0,9.35
coihaique,-45.58,84,41.0,4.7,90,4.7
dilla,6.41,85,63.34,1.16,97,1.16
saskylakh,71.92,88,45.34,9.13,100,9.13
yellowknife,62.46,72,59.0,6.93,75,6.93
vardo,70.37,87,60.8,18.34,10,18.34
khatanga,71.97,90,40.87,12.24,99,12.24
upington,-28.45,40,53.6,8.05,0,8.05
joniskis,56.24,93,55.4,8.05,90,8.05
micheweni,-4.97,73,76.14,18.03,64,18.03
kapaa,22.08,74,82.4,11.41,20,11.41
bethel,41.37,57,81.0,2.55,1,2.55
pokhara,28.23,81,68.97,1.07,22,1.07
saint george,37.1,26,96.01,8.05,75,8.05
isangel,-19.55,83,77.0,12.75,75,12.75
