,city,lat,lon,humidity,wind,clouds,country,date,temp
0,ancud,-41.87,-73.82,87,12.75,40,CL,1595627815,46.99
1,borba,-4.39,-59.59,62,0.63,68,BR,1595627816,83.46
2,honningsvag,70.98,25.97,93,4.7,7,NO,1595627612,55.4
3,mataura,-46.19,168.86,88,5.7,95,NZ,1595627531,44.83
4,venice,27.1,-82.45,70,9.17,20,US,1595627802,87.01
5,esperance,-33.87,121.9,93,12.75,0,AU,1595627595,44.6
6,bluff,-46.6,168.33,82,16.4,100,NZ,1595627536,50.27
7,araouane,18.9,-3.53,11,0.2,6,ML,1595627637,102.83
8,rio grande,-32.03,-52.1,89,5.01,100,BR,1595627568,53.01
9,hermanus,-34.42,19.23,62,2.37,0,ZA,1595627816,59.99
10,rikitea,-23.12,-134.97,58,13.4,26,PF,1595627535,68.72
11,houston,29.76,-95.36,62,23.04,75,US,1595627066,91.99
12,port hardy,50.7,-127.42,63,12.75,40,CA,1595627455,64.4
13,ushuaia,-54.8,-68.3,94,16.11,90,AR,1595627817,32.0
14,punta arenas,-53.15,-70.92,74,11.41,20,CL,1595627352,37.4
15,carutapera,-1.2,-46.02,78,9.06,97,BR,1595627817,78.85
16,qaanaaq,77.48,-69.36,52,2.95,0,GL,1595627569,49.42
17,severo-kurilsk,50.68,156.12,82,6.87,100,RU,1595627560,50.92
18,hilo,19.73,-155.09,69,12.75,90,US,1595627568,82.4
19,thompson,55.74,-97.86,94,4.7,90,CA,1595627556,69.8
20,vaini,-21.2,-175.2,94,9.17,75,TO,1595627544,73.4
21,edgecumbe,-37.98,176.83,86,3.0,1,NZ,1595627818,48.0
22,mar del plata,-38.0,-57.56,75,20.8,75,AR,1595627396,43.0
23,najran,17.49,44.13,25,6.93,100,SA,1595627818,87.8
24,itarema,-2.92,-39.92,75,15.77,16,BR,1595627818,78.33
25,binga,-17.62,27.34,58,2.1,4,ZW,1595627818,60.24
26,lobva,59.19,60.52,82,3.56,28,RU,1595627819,52.23
27,buraydah,26.33,43.98,30,3.36,40,SA,1595627387,98.6
28,roald,62.58,6.13,87,12.75,0,NO,1595627819,51.8
29,torbay,47.67,-52.73,100,4.7,90,CA,1595627593,57.0
30,ponta delgada,37.73,-25.67,73,3.36,40,PT,1595627819,69.8
31,jamestown,42.1,-79.24,78,8.05,75,US,1595627525,78.01
32,new norfolk,-42.78,147.06,81,1.99,100,AU,1595627820,42.01
33,port elizabeth,-33.92,25.57,66,4.7,0,ZA,1595627595,51.8
34,te anau,-45.42,167.72,86,5.39,99,NZ,1595627654,44.11
35,hobart,-42.88,147.33,81,9.17,100,AU,1595627820,43.0
36,albany,42.6,-73.97,43,2.75,50,US,1595627532,89.01
37,longyearbyen,78.22,15.64,76,9.17,0,SJ,1595627547,53.6
38,iquique,-20.22,-70.14,63,14.99,2,CL,1595627821,60.8
39,nikolskoye,59.7,30.79,81,6.71,20,RU,1595627821,54.0
40,marawi,8.0,124.29,95,5.01,66,PH,1595627574,73.0
41,kerman,30.28,57.08,18,6.93,0,IR,1595627821,73.4
42,mount isa,-20.73,139.5,66,5.82,0,AU,1595627821,50.0
43,flinders,-34.58,150.86,93,1.99,84,AU,1595627761,48.0
44,mahebourg,-20.41,57.7,56,16.11,75,MU,1595627534,68.0
45,lebu,-37.62,-73.65,79,9.19,94,CL,1595627537,48.52
46,la ronge,55.1,-105.28,57,13.87,75,CA,1595627822,77.0
47,nathdwara,24.93,73.82,77,3.38,31,IN,1595627823,77.2
48,birao,10.28,22.79,90,5.97,35,CF,1595627823,73.04
49,port macquarie,-31.43,152.92,100,2.24,90,AU,1595627563,51.01
50,avarua,-21.21,-159.78,53,6.93,83,CK,1595627522,77.0
51,busselton,-33.65,115.33,77,14.74,87,AU,1595627530,45.0
52,vila franca do campo,37.72,-25.43,73,3.36,40,PT,1595627529,69.8
53,comodoro rivadavia,-45.87,-67.5,56,18.34,72,AR,1595627824,44.6
54,leningradskiy,69.38,178.42,68,12.73,99,RU,1595627647,47.07
55,arraial do cabo,-22.97,-42.03,73,13.87,0,BR,1595627541,73.4
56,tuktoyaktuk,69.45,-133.04,67,6.93,75,CA,1595627584,62.6
57,venray,51.52,5.97,82,6.93,0,NL,1595627824,64.4
58,barra do garcas,-15.89,-52.26,37,2.28,75,BR,1595627824,75.47
59,bredasdorp,-34.53,20.04,87,3.36,0,ZA,1595627554,48.2
60,sesheke,-17.48,24.3,54,3.36,27,ZM,1595627825,53.6
61,hithadhoo,-0.6,73.08,73,5.32,100,MV,1595627542,81.09
62,nanortalik,60.14,-45.24,90,9.06,100,GL,1595627641,45.88
63,vuktyl,63.86,57.31,61,6.58,11,RU,1595627825,55.63
64,barrow,71.29,-156.79,80,16.11,90,US,1595627532,35.6
